index,disease_name,description,Possible Steps,image_url
10,Corn : Northern Leaf Blight,"Northern corn leaf blight (NCLB) is caused by the fungus Setosphaeria turcica. Symptoms usually appear first on the lower leaves. Leaf lesions are long (1 to 6 inches) and elliptical, gray-green at first but then turn pale gray or tan. Under moist conditions, dark gray spores are produced, usually on the lower leaf surface, which give lesions a ""dirty"" gray appearance. Entire leaves on severely blighted plants can die, so individual lesions are not visible. Lesions may occur on the outer husk of ears, but the kernels are not infected. On hybrids that contain an Ht gene for resistance to the fungus, lesions are smaller, chlorotic, and may develop into linear streaks. These lesions rarely produce spores.","Fungicide applications reduced Northern Corn Leaf Blight damage and protected yield. Fungicide value was higher in reducing yield in susceptible corn hybrids. Fungicide were most effective if they were applied at disease onset. Disease onset varied in growth stages, and so the best stage to apply fungicides.",https://crop-protection-network.s3.amazonaws.com/articles/NLB-Daren-Mueller-02.jpg
11,Corn : Healthy,"Corn plants prefer daytime temperatures of 75 to 80 degrees F and 65 to 70 degrees F during the night. The soil should be kept consistently moist, but not soggy and they only need fertilizer every 6 months. Although dracaena can take low light conditions, they do best when placed in bright but indirect light.It�s just natural for a plant to produce a few yellow leaves, its nothing to get alarmed about.However if it produces a lot of yellow leaves all at once, say five or six, you may be over-watering or the plant may be suffering from a lack of light.","Corn has several health benefits. Because of the high fiber content, it can aid with digestion. It also contains valuable B vitamins, which are important to your overall health. Corn also provides our bodies with essential minerals such as zinc, magnesium, copper, iron and manganese.",https://c8.alamy.com/comp/A85TR2/young-healthy-green-leaves-of-corn-maize-plant-in-pretty-unfolding-A85TR2.jpg
12,Grape : Black Rot,"Grape black rot is a fungal disease caused by an ascomycetous fungus, Guignardia bidwellii, that attacks grape vines during hot and humid weather. �Grape black rot originated in eastern North America, but now occurs in portions of Europe, South America, and Asia. It can cause complete crop loss in warm, humid climates, but is virtually unknown in regions with arid summers.� The name comes from the black fringe that borders growing brown patches on the leaves. The disease also attacks other parts of the plant, �all green parts of the vine: the shoots, leaf and fruit stems, tendrils, and fruit. The most damaging effect is to the fruit�",Mancozeb is available as BONIDE MANCOZEB FLOWABLE fungicide. It contains 37% Mancozeb and should be very effective for controlling black rot. Nova (myclobutanil) is available in IMMUNOX FUNGICIDE. It is 1.55 % myclobutanil and should be effective for controlling black rot.,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Guignardia_bidwellii_08.jpg/330px-Guignardia_bidwellii_08.jpg
13,Grape : Esca | Black Measles,"Grapevine measles, also called esca, black measles or Spanish measles, has long plagued grape growers with its cryptic expression of symptoms and, for a long time, a lack of identifiable causal organism(s). The name �measles� refers to the superficial spots found on the fruit (Fig. 1). During the season, the spots may coalesce over the skin surface, making berries black in appearance. Spotting can develop anytime between fruit set and a few days prior to harvest. Berries affected at fruit set tend not to mature and will shrivel and dry up. In addition to spotting, fruit affected later in the season will also have an acrid taste.Leaf symptoms are characterized by a �tiger stripe� pattern (Fig 2-bottom leaf) when infections are severe from year to year. Mild infections can produce leaf symptoms (Fig. 2-upper leaf) that can be confused with other diseases or nutritional deficiencies. White cultivars will display areas of chlorosis followed by necrosis, while red cultivars are characterized by red areas followed by necrosis. Early spring symptoms include shoot tip dieback, leaf discoloration and complete defoliation in severe cases.","Till date there is no effective method to control this disease. Remove the infected berries, leaves and trunk and destroy them. Protect the prune wounds to minimize fungal infection using wound sealant (5% boric acid in acrylic paint) or essential oil or suitable fungicides.",https://www.researchgate.net/profile/Laura-Mugnai/publication/43161073/figure/fig1/AS:340404659605512@1458170203496/Symptoms-associated-with-esca-of-grapevine-chlorosis-and-necrosis-on-the-leaves-showing_Q320.jpg
14,Grape : Leaf Blight | Isariopsis Leaf Spot,"The fungus is an obligate pathogen which can attack all green parts of the vine.
Symptoms of this disease are frequently confused with those of powdery mildew. Infected leaves develop pale yellow-green lesions which gradually turn brown. Severely infected leaves often drop prematurely.Infected petioles, tendrils, and shoots often curl, develop a shepherd's crook, and eventually turn brown and die.
Young berries are highly susceptible to infection and are often covered with white fruiting structures of the fungus. Infected older berries of white cultivars may turn dull gray-green, whereas those of black cultivars turn pinkish red.","Apply dormant sprays to reduce inoculum levels.
Cut it out. 
Open up that canopy.
Don't let down your defenses.
Scout early, scout often.
Use protectant and systemic fungicides.
Consider fungicide resistance.
Watch the weather.",https://www.goodfruit.com/wp-content/uploads/Black-rot-lesions-on-leaves-indicate-potential-for-fruit-infection-1-feat2.jpg
15,Grape : Healthy,Apply water only to the root zone. Avoid getting grape foliage wet as this can encourage many grape diseases. Reduce watering young vines in the fall to encourage the plant to harden-off its canes to prepare for winter. Older vines seldom need any watering unless on sandy or other very well drained soils.,"Packed With Nutrients, Especially Vitamins C and K.
High Antioxidant Contents May Prevent Chronic Diseases.
Plant Compounds May Protect Against Certain Types of Cancer. 
Beneficial for Heart Health in Various Impressive Ways.
May Decrease Blood Sugar Levels and Protect Against Diabetes.",https://images.indianexpress.com/2021/02/grapes-1200.jpg
16,Orange : Haunglongbing | Citrus Greening,"Citrus greening disease is a disease of citrus caused by a vector-transmitted pathogen. HLB is distinguished by the common symptoms of yellowing of the veins and adjacent tissues; followed by splotchy mottling of the entire leaf, premature defoliation, dieback of twigs, decay of feeder rootlets and lateral roots, and decline in vigor, ultimately followed by the death of the entire plant. Affected trees have stunted growth, bear multiple off-season flowers (most of which fall off), and produce small, irregularly shaped fruit with a thick, pale peel that remains green at the bottom and tastes very bitter. Common symptoms can often be mistaken for nutrient deficiencies; however, the distinguishing factor between nutrient deficiencies is the pattern of symmetry. Nutrient deficiencies tend to be symmetrical along the leaf vein margin, while HLB has an asymmetrical yellowing around the vein. The most noticeable symptom of HLB is greening and stunting of the fruit, especially after ripening","The only way to prevent the spread of Citrus Greening Disease is to control ACP(Asian Citrus Psyllid). Since citrus is such a popular and widely-planted garden tree, homeowners are on the front lines of this important battle.Spray the lemon tree with Neem oil insecticide, both the top and undersides of the foliage. You may need to repeat in 10-14 days, depending upon the extent of the infestation. Follow up by treating the mold growth with liquid copper fungicide.",https://www.universityofcalifornia.edu/sites/default/files/CitrusGreening.jpg
17,Peach : Bacterial Spot,"Bacterial spot is an important disease of peaches, nectarines, apricots, and plums caused by Xanthomonas campestris pv. pruni. Symptoms of this disease include fruit spots, leaf spots, and twig cankers. Fruit symptoms include pitting, cracking, gumming, and watersoaked tissue, which can make the fruit more susceptible to brown rot, rhizopus, and other fungal infections. Severe leaf spot infections can cause early defoliation. Severe defoliation can result in reduced fruit size, and sunburn and cracking of fruit. Early defoliated trees are reduced in vigor and winter hardiness.","Fruit symptoms of bacterial spot may be confused with peach scab, caused by the fungus Cladosporium carpophyllium, however scab spots are more circular, have a dark brown/greenish, fuzzy appearance, and do not pit the fruit surface, although skin cracking can occur. Scab does not cause leaf symptoms but can cause spots on twigs. Initial fruit spots of bacterial spot may be superficial but develop into craters.",https://www.gardeningknowhow.com/wp-content/uploads/2016/07/bacterial-spot-peach.jpg
18,Peach : Healthy,"Peach trees grow in USDA Zones 5 to 8 or 9, and they�re available in dwarf or standard sizes, making them a great choice for backyard orchards.Unlike most ornamentals, peach trees need regular pruning, fertilizing, and spraying to stay healthy and productive. Keep the ground around your tree clear of grass and weeds that would compete for water and nutrients, and mulch generously.","Packed With Nutrients and Antioxidants. 
May Aid Digestion. 
May Improve Heart Health. 
May Protect Your Skin.
May Prevent Certain Types of Cancer.
May Reduce Allergy Symptoms.
Widely Available and Easy to Add to Your Diet.",https://www.tasteofhome.com/wp-content/uploads/2019/06/peaches-shutterstock_297863489-1.jpg
19,Pepper bell : Bacterial Spot,"Leaf spots that appear on the lower surface of older leaves as small, pimples and on the upper leaf surface as small water-soaked spots are a symptom of bacterial spot. This is an important pepper disease in Maryland. It also occasionally attacks tomatoes. Eventually, the spots develop gray to tan centers with darker borders. Lesions enlarge during warm, humid weather. Leaves may then turn yellow, then brown and drop. Lesions may also develop on stems. Fruits develop small, raised rough spots that do not affect eating quality. Severely infected leaves will drop resulting in sunscald of peppers. Bacterial leaf spot is spread by splashing rain and working with wet, infected plants. This disease can defoliate plants during wet weather. Hot, dry weather slows the spread of this disease. The disease can come in on seed or transplants and can overwinter in crop residue and soil.","Select resistant varieties
Purchase disease-free seed and transplants.
Treat seeds by soaking them for 2 minutes in a 10% chlorine bleach solution (1 part bleach; 9 parts water). Thoroughly rinse seeds and dry them before planting.
Mulch plants deeply with a thick organic material like newspaper covered with straw or grass clippings.
Avoid overhead watering.
Remove and discard badly infected plant parts and all debris at the end of the season.
Spray every 10-14 days with fixed copper (organic fungicide) to slow down the spread of infection.
Rotate peppers to a different location if infections are severe and cover the soil with black plastic mulch or black landscape fabric prior to planting.",https://extension.umd.edu/sites/default/files/_images/programs/grow_it_eat_it/diseases/BacterialLeafSpot/bacterial_leaf_spot_pepper_plant_l.jpg
20,Pepper bell : Healthy,"Keep bell peppers well-watered, but never leave soil soggy. Water to moisten soil about 6 inches deep, then let it dry slightly. Watering is especially important during fruit set, when tiny peppers take the place of blossoms, and as the bells mature. Consistent moisture helps keep peppers firm and healthy.","Red, Orange, and Yellow Bell Peppers are full of great health benefits�they're packed with vitamins and low in calories! They are an excellent source of vitamin A, vitamin C, and potassium. Bell Peppers also contain a healthy dose of fiber, folate, and iron.",https://www.healthbenefitstimes.com/9/gallery/bell-peppers/Bell-pepper-leaves.jpg
21,Potato : Early Blight,"In most production areas, early blight occurs annually to some degree. The severity of early blight is dependent upon the frequency of foliar wetness from rain, dew, or irrigation; the nutritional status of the foliage; and cultivar susceptibility.The first symptoms of early blight appear as small, circular or irregular, dark-brown to black spots on the older (lower) leaves. These spots enlarge up to 3/8 inch in diameter and gradually may become angular-shaped.Initial lesions on young, fully expanded leaves may be confused with brown spot lesions. These first lesions appear about two to three days after infection, with further sporulation on the surface of these lesions occurring three to five days later.",Treatment of early blight includes prevention by planting potato varieties that are resistant to the disease; late maturing are more resistant than early maturing varieties. Avoid overhead irrigation and allow for sufficient aeration between plants to allow the foliage to dry as quickly as possible.,https://www.ag.ndsu.edu/publications/crops/early-blight-in-potato/figure-1-opt.jpeg/@@images/468990cc-77a9-4e29-8779-0eb3e94e0407.jpeg
22,Potato : Late Blight,"The primary host is potato, but P. infestans also can infect other solanaceous plants, including tomatoes, petunias and hairy nightshade, that can act as source of inoculum to potato.The first symptoms of late blight in the field are small, light to dark green, circular to irregular-shaped water-soaked spots. These lesions usually appear first on the lower leaves. Lesions often begin to develop near the leaf tips or edges, where dew is retained the longest.During cool, moist weather, these lesions expand rapidly into large, dark brown or black lesions, often appearing greasy. Leaf lesions also frequently are surrounded by a yellow chlorotic halo",The severe late blight can be effectively managed with prophylactic spray of mancozeb at 0.25% followed by cymoxanil+mancozeb or dimethomorph+mancozeb at 0.3% at the onset of disease and one more spray of mancozeb at 0.25% seven days after application of systemic fungicides in West Bengal ,https://www.ag.ndsu.edu/publications/crops/late-blight-in-potato/figure-2-opt.jpeg/@@images/dfe1e0b4-08d4-404a-8e66-474de72b1e91.jpeg
23,Potato : Healthy,"Many potatoes need consistent moisture levels to develop, so water regularly on a daily basis when tubers establish. When you the water the potato plants it should reach to the ground level of about 8-10 inches. During hot or warm seasons water the potato plants in huge amounts twice a day as the soil gets dry quickly.","Packed With Nutrients. Share on Pinterest.
Contain Antioxidants. Potatoes are rich in compounds like flavonoids, carotenoids and phenolic acids (4).
May Improve Blood Sugar Control.
May Improve Digestive Health.
Naturally Gluten-Free.
Incredibly Filling.
Extremely Versatile.",https://www.garden.eco/wp-content/uploads/2018/06/can-you-eat-potato-leaves.jpg
24,Raspberry : Healthy,"Water one inch per week from spring until after harvest. Regular watering is better than infrequent deep soaking. Keep your raspberry bushes tidy by digging up any �suckers� or canes that grow well away from the rows; if you don't dig them up, they'll draw nutrients away and you'll have less berries next year.","They provide potassium, essential to heart function, and proven to lower blood pressure. The omega-3 fatty acids in raspberries can help prevent stroke and heart disease. They also contain a mineral called manganese, which is necessary for healthy bones and skin and helps regulate blood sugar.",https://www.gardeningknowhow.com/wp-content/uploads/2009/04/raspberry.jpg
25,Soybean : Healthy,Keep planting beds evenly moist until soybeans have pushed through the soil. Water regularly during flowering and pod formation. Avoid overhead watering which can cause flowers and pods to fall off. Mulch when the soil warms to greater than 60�F (16�C) to conserve soil moisture.,"high in fibre
high in protein
low in saturated fat
cholesterol free
lactose free
a good source of omega-3 fatty acids
a source of antioxidants
high in phytoestrogens.",https://upload.wikimedia.org/wikipedia/commons/a/ac/Soybean_leaves.jpg
26,Squash : Powdery Mildew,"White powdery spots can form on both upper and lower leaf surfaces, and quickly expand into large blotches.
Powdery mildew weakens the plant and the fruit ripens prematurely. Fewer and smaller fruit grow on infected plants.
In warm, dry conditions, new spores form and easily spread the disease.
Symptoms of powdery mildew first appear mid to late summer in Minnesota.
Provide good air movement around plants through proper spacing, staking of plants and weed control.
If susceptible varieties are growing in an area where powdery mildew has resulted in yield loss in the past, fungicide may be necessary.","Combine one tablespoon baking soda and one-half teaspoon of liquid, non-detergent soap with one gallon of water, and spray the mixture liberally on the plants. Mouthwash. The mouthwash you may use on a daily basis for killing the germs in your mouth can also be effective at killing powdery mildew spores.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/powdery-mildew-2.jpg?itok=Un68av52
27,Strawberry : Leaf Scorch,"Leaf scorch symptoms are very similar to the early stages of common (Mycosphaerella) leaf spot, with irregular dark purple spots being scattered over the upper leaf surface. As the spots enlarge, they begin to look like drops of tar, and are actually the accumulations of black fruiting bodies (acervuli) of the fungus. The centers of the spots remain purple (in Mycosphaerella leaf spot they are white) and there is no well-defined lesion border. In heavy infections, these regions coalesce and the tissue between the lesions often takes on a purplish to bright red color that is dependent on cultivar, temperature, or other factors. The leaves eventually turn brown, dry up, and curl at the margins giving the leaf a scorched appearance. Examination of the acervuli and conidial morphology can help to distinguish between leaf spot and leaf scorch at this advanced stage of disease. On the upper leaf surfaces of leaf scorch lesions, the acervuli are dark with glistening spore masses and dark apothecia. Petiole lesions are elongate, sunken, with a purplish to brown color and can kill the leaf by girdling the petiole. Runners, fruit stalks, fruit and caps can also become infected. Plants may become weakened and the number and vigor of crowns reduced. Infection predisposes the plants to winter and drought stress. In severe infestations, flowers and fruit may die.","While leaf scorch on strawberry plants can be frustrating, there are some strategies which home gardeners may employ to help prevent its spread in the garden. The primary means of strawberry leaf scorch control should always be prevention. Since this fungal pathogen overwinters on the fallen leaves of infected plants, proper garden sanitation is key. This includes the removal of infected garden debris from the strawberry patch, as well as the frequent establishment of new strawberry transplants. The creation of new plantings and strawberry patches is key to maintaining a consistent strawberry harvest, as older plants are more likely to show signs of severe infection.",https://content.ces.ncsu.edu/media/images/17531_IMG_2126.JPG
28,Strawberry : Healthy,"Find them a sunny spot because they love and need lots of light. I prefer a spot where they receive the morning sun.
If you have them in pots and/or other containers, it is good to move them during the day to take advantage of changing sunlight.
They are thirsty plants. Water them daily, especially if they are producing fruit. It is best to do it in the morning and to avoid wetting the leaves for disease prevention.
Keep them guarded from extreme weather conditions and wind. Please note that even if they like sunlight, being exposed to direct midday sunlight can be damaging as well.
Check the pots for good drainage.
Keep weeds and unwanted plants in check.
You need to fertilize them because they need a lot of energy to produce strawberries. Buy a balanced fertilizer (10-10-10, 12-12-12, etc). Follow the directions because too much fertilizer can reduce the fruit yield and it may also stimulate runner production.","The heart-shaped silhouette of the strawberry is the first clue that this fruit is good for you. These potent little packages protect your heart, increase HDL (good) cholesterol, lower your blood pressure, and guard against cancer.

Packed with vitamins, fiber, and particularly high levels of antioxidants known as polyphenols, strawberries are a sodium-free, fat-free, cholesterol-free, low-calorie food. They are among the top 20 fruits in antioxidant capacity and are a good source of manganese and potassium. Just one serving -- about eight strawberries -- provides more vitamin C than an orange.",https://www.canr.msu.edu/uploads/images/7-12-11-MARK-plhstrw4.jpg
29,Tomato : Bacterial Spot,"Bacterial spot of tomato is a potentially devastating disease that, in severe cases, can lead to unmarketable fruit and even plant death.  Bacterial spot can occur wherever tomatoes are grown, but is found most frequently in warm, wet climates, as well as in greenhouses.  The disease is often an issue in Wisconsin.Bacterial spot can affect all above ground parts of a tomato plant, including the leaves, stems, and fruit.  Bacterial spot appears on leaves as small (less than ? inch), sometimes water-soaked (i.e., wet-looking) circular areas.  Spots may initially be yellow-green, but darken to brownish-red as they age.  When the disease is severe, extensive leaf yellowing and leaf loss can also occur.  On green fruit, spots are typically small, raised and blister-like, and may have a yellowish halo.  As fruit mature, the spots enlarge (reaching a maximum size of � inch) and turn brown, scabby and rough.  Mature spots may be raised, or sunken with raised edges.","Plant pathogen-free seed or transplants to prevent the introduction of bacterial spot pathogens on contaminated seed or seedlings.  If a clean seed source is not available or you suspect that your seed is contaminated, soak seeds in water at 122�F for 25 min. to kill the pathogens.  To keep leaves dry and to prevent the spread of the pathogens, avoid overhead watering (e.g., with a wand or sprinkler) of established plants and instead use a drip-tape or soaker-hose.  Also to prevent spread, DO NOT handle plants when they are wet (e.g., from dew) and routinely sterilize tools with either 10% bleach solution or (better) 70% alcohol (e.g., rubbing alcohol).  Where bacterial spot has been a recurring problem, consider using preventative applications of copper-based products registered for use on tomato, especially during warm, wet periods.  Keep in mind however, that if used excessively or for prolonged periods, copper may no longer control the disease.  Be sure to read and follow all label instructions of the product that you select to ensure that you use it in the safest and most effective manner possible.",https://www.growingproduce.com/wp-content/uploads/2019/08/bacterial_spot_tomato.jpg
30,Tomato : Early Blight,"Early blight is one of the most common tomato diseases, occurring nearly every season wherever tomatoes are grown.
It affects leaves, fruits and stems and can be severely yield limiting when susceptible cultivars are used and weather is favorable.
Severe defoliation can occur and result in sunscald on the fruit.
Early blight is common in both field and high tunnel tomato production in Minnesota.","Prune or stake plants to improve air circulation and reduce fungal problems.
Make sure to disinfect your pruning shears (one part bleach to 4 parts water) after each cut.
Keep the soil under plants clean and free of garden debris. Add a layer of organic compost to prevent the spores from splashing back up onto vegetation.
Drip irrigation and soaker hoses can be used to help keep the foliage dry.
For best control, apply copper-based fungicides early, two weeks before disease normally appears or when weather forecasts predict a long period of wet weather. Alternatively, begin treatment when disease first appears, and repeat every 7-10 days for as long as needed.
Containing copper and pyrethrins, Bonide� Garden Dust is a safe, one-step control for many insect attacks and fungal problems. For best results, cover both the tops and undersides of leaves with a thin uniform film or dust. Depending on foliage density, 10 oz will cover 625 sq ft. Repeat applications every 7-10 days, as needed.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/large/public/early-blight-leaf-tomato.jpg?itok=woYQQlrF
31,Tomato : Late Blight,"Late blight is caused by the oomycete Phytophthora infestans. Oomycetes are fungus-like organisms also called water molds, but they are not true fungi.
There are many different strains of P. infestans. These are called clonal lineages and designated by a number code (i.e. US-23). Many clonal lineages affect both tomato and potato, but some lineages are specific to one host or the other.Late blight is a potentially devastating disease of tomato and potato, infecting leaves, stems and fruits of tomato plants.
The disease spreads quickly in fields and can result in total crop failure if untreated.
Late blight of potato was responsible for the Irish potato famine of the late 1840s.","Sanitation is the first step in controlling tomato late blight. Clean up all debris and fallen fruit from the garden area. This is particularly essential in warmer areas where extended freezing is unlikely and the late blight tomato disease may overwinter in the fallen fruit. Currently, there are no strains of tomato available that are resistant to late tomato blight, so plants should be inspected at least twice a week. Since late blight symptoms are more likely to occur during wet conditions, more care should be taken during those times. For the home gardener, fungicides that contain maneb, mancozeb, chlorothanolil or fixed copper can help protect plants from late tomato blight. Repeated applications are necessary throughout the growing season as the disease can strike at any time. For organic gardeners, there are some fixed copper products approved for use; otherwise, all infected plants must be immediately removed and destroyed.","https://www.canr.msu.edu/contentAsset/image/e97d1ef0-5b55-49b0-ab4e-c57dcbeca65e/fileAsset/filter/Resize,Jpeg/resize_w/750/jpeg_q/80"
